Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-86.5,-100,-76,-82,3,-0.36156,-0.13948,0.93938
-91,-100,-67,-88.4,3,-0.37611,-0.17611,0.93194
-90.667,-100,-69.5,-88,3,-0.38403,-0.18542,0.93194
-89.2,-100,-74.5,-80.5,3,-0.39271,-0.19948,0.92198
-92.6,-100,-71,-84.25,3,-0.38427,-0.19344,0.925
-87.5,-100,-79.25,-87.75,3,-0.38385,-0.20573,0.91458
-86,-100,-73.333,-88,3,-0.39479,-0.21493,0.93403
-92.5,-100,-73,-83.75,3,-0.38281,-0.19948,0.91927
-86,-100,-70,-86.75,3,-0.39132,-0.20712,0.91944
-90.25,-100,-70,-87.5,3,-0.38681,-0.20868,0.91458
-93.25,-100,-72.75,-83,3,-0.38976,-0.20747,0.92396
-92,-100,-77.75,-83,3,-0.38802,-0.2151,0.91302
-90.2,-100,-75,-82.25,3,-0.38479,-0.2076,0.91271
-86,-100,-81,-100,3,-0.38646,-0.21771,0.93542
-88.333,-100,-74.25,-100,3,-0.42474,-0.22917,-0.4625
-89.5,-100,-80.5,-84.5,3,-0.58646,-0.014583,-0.11875
-91,-100,-73.2,-83.333,3,-0.40583,-0.072431,0.93597
-86,-100,-72.75,-83.667,3,-0.40625,-0.15365,0.92118
-92.4,-100,-76.333,-87.2,3,-0.39681,-0.10097,0.93681
-94,-100,-72,-93,3,-0.41417,-0.15896,0.91354
-84.5,-100,-70.6,-85.5,3,-0.4249,-0.17823,0.90625
-92.5,-100,-72.5,-88.5,3,-0.41615,-0.18438,0.90625
-89.333,-100,-70.333,-90.333,3,-0.4125,-0.18194,0.91181
-93,-100,-72.5,-91.333,3,-0.41806,-0.18299,0.9099
-84.667,-100,-77.667,-86.25,3,-0.41128,-0.17917,0.90625
